RegionName,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,SizeRank,Growth Rate (since 2012),Population,Population % change,Median Age,% over 65 (2014),% over 65 (2010), Median income 2014 , in civilian labor force , Persons per household ,living in same house as 1 year ago,population per square mile
New Jersey,142700,142400,142200,142000,141700,141500,141300,141200,141000,141200,141600,142000,142100,142100,142300,142400,142200,142300,142700,143100,143500,144400,145500,146400,147100,147500,147600,147700,147900,148200,148700,149300,150000,151000,152200,153300,154200,155000,155800,157100,158400,159600,160500,161500,162800,164200,165400,166600,167900,169300,170700,172200,173600,175100,176500,178100,179800,181500,183000,184400,186100,188100,190000,191500,193500,195900,198300,200200,202400,204500,206800,209500,212400,215300,218300,221700,225300,228600,231900,235200,238500,241700,244900,248000,250700,253500,256600,259800,262900,265700,268500,271500,274500,277400,280100,283000,286100,289600,293300,297100,301100,305000,309000,312900,316800,320500,324100,328000,332000,336100,340100,344100,347600,350700,354100,357700,360500,362600,364500,366500,368400,369900,370700,370800,370500,369900,369100,367900,366500,365400,364500,363800,363200,362300,361000,359400,357600,355600,353800,352300,350700,349000,347100,344900,342400,339600,336700,333900,331300,328700,326100,322900,320500,319300,318300,316200,314000,311700,309600,307900,306600,305900,305400,304800,304100,303400,302500,301600,300700,299900,299200,298100,296600,294900,293100,291600,290400,288700,286800,284800,282700,280700,278800,277000,275400,273700,271900,270200,268500,266900,265700,264600,263700,263000,262800,262800,263100,263300,263300,263000,263000,263200,263600,264100,264300,264600,265400,266500,267500,268500,270200,272200,273800,275200,276200,277800,279900,282400,284400,285700,286300,286800,287000,287100,286700,285800,285500,285600,285300,284500,283900,283800,284200,284900,285400,285900,286500,287000,287300,287500,11,8%,"8,958,013",1.90%,39.4,14.70%,13.50%,"$72,062 ",66.20%,2.72,90.10%,"1,195.50"
Virginia,113500,114100,114500,114700,114700,114600,114600,114800,114800,114900,115300,115500,115400,115200,115200,115100,115200,115400,115800,116200,116400,116800,117400,117800,118000,118200,118300,118300,118400,118900,119300,119700,120100,120700,121300,121800,122200,122700,123300,123800,124200,124500,125000,125500,126100,126800,127700,128500,129000,129500,130100,130700,131400,132200,132700,133300,134100,135200,136100,137100,138300,139300,140200,141300,142400,143200,143900,144800,146000,147000,148000,149100,150300,151500,152600,153900,155200,156500,157700,159000,160500,161900,163400,164900,166200,167500,169000,170700,172500,174300,176200,178300,180400,182700,185200,187500,190100,193000,196400,199800,203400,207500,211800,215700,219400,223100,227000,230900,234800,238600,242400,246200,249900,253100,256000,258900,260900,261900,262800,264000,265200,266000,266600,267000,267100,266900,266500,266300,266000,266000,266200,266200,266000,265700,265100,263900,262500,261200,259900,258400,256800,255100,253100,250800,248600,246300,243900,241600,239500,237400,235400,233300,231800,230900,230100,229000,227900,227000,226100,225200,224500,223800,223100,222700,222500,221900,221300,220600,220100,219700,219300,218500,217800,217100,216500,215800,215000,214100,213200,212600,211800,210800,210000,209500,209100,208900,208800,208600,208300,208400,208600,208500,208400,208500,208800,209200,209400,209500,209400,209600,209600,209700,210000,210800,211700,212900,214400,216100,217800,219400,221000,222500,224100,226000,227500,228100,228600,229000,229200,229300,229400,229500,229800,229900,229500,229100,229500,230300,230700,230900,231000,231000,231000,231300,231500,231900,232400,232700,232800,233100,12,12%,"8,382,993",4.80%,37.7,13.80%,12.20%,"$64,792 ",64.80%,2.61,84.70%,202.6
Washington,135200,135700,135900,135900,136000,136200,136700,137000,137500,138200,138900,139600,140100,140800,141600,142400,143200,143900,144500,145300,146200,147100,148000,148500,149000,149600,150300,151200,152300,153000,153200,153700,154600,155600,156500,157000,157400,158000,158700,159200,159600,160400,161400,162400,163300,164100,164900,166000,167000,167600,168100,168700,169500,170100,170400,170700,171100,171700,172500,173300,174100,174700,175200,175800,176300,176800,177600,178400,179000,179600,180600,181400,181800,182200,182800,183300,183800,184600,185500,186500,187700,188900,189700,190600,191600,192500,193400,194200,195200,196400,197600,198800,200200,201600,203000,204800,206600,208700,211100,213600,215900,218200,220600,223000,225500,228100,231000,234000,237600,241300,245000,248900,252900,256900,260900,264700,268300,271400,274300,277100,280200,283200,286100,288900,291300,293300,295200,297200,298600,299800,301200,302200,302600,302800,303000,302900,302500,301800,300500,298900,297200,295300,293300,291500,289700,287800,285400,283200,281500,279700,277200,274300,272000,270700,269500,267600,265300,263100,261100,259400,257800,256400,255700,255300,254500,253700,252600,251300,250200,248900,247100,245100,242900,240700,238900,237200,235700,234000,232100,230100,228000,226000,224100,222500,221100,220200,219500,218900,218200,217800,217800,218200,219000,219900,220700,221300,222100,222900,223800,224800,226100,227100,228100,229300,230900,233000,235900,238900,241700,243900,245700,247200,248800,250600,251800,253200,254900,256100,256800,257500,258200,258800,259500,260600,261700,262700,264400,266900,269100,271900,274600,276600,278300,280800,283100,285400,287700,289800,292200,294300,13,35%,"7,170,351",6.60%,37.5,14.10%,12.30%,"$60,294 ",63.80%,2.55,82.60%,101.2
Massachusetts,140500,140800,141000,141100,141300,141500,141700,142000,142600,143400,144300,145000,145400,145900,146500,147200,147700,148200,148900,149900,151100,152500,153900,155100,156200,157200,158300,159400,160800,161900,163000,163900,165000,166200,167800,169400,171100,172900,174700,176500,178300,180200,182200,184400,186400,188600,190900,193200,195600,198600,201800,204800,207600,210500,213400,216400,219200,222100,225100,228100,231000,233900,236700,239600,242700,245800,248600,251400,253800,256000,258500,261200,263800,266300,269100,272300,275600,279000,282100,285300,288900,292400,295200,297700,300100,302000,304000,306200,308300,310200,312300,314500,316500,318600,321100,323700,326600,329700,332400,335000,337600,340100,342500,344800,347000,349200,351600,353900,355800,357200,358000,358500,358800,359100,359000,358800,358100,357100,356100,355200,354100,352800,351000,348900,346500,344300,342300,340700,339200,338000,337500,337200,336500,335200,333700,332200,330600,329100,327700,326300,324700,323000,320600,317500,314600,312300,310300,308700,307300,305800,304200,302400,300800,299600,298500,297200,296300,296200,296700,297300,297600,298300,298900,299400,299600,299800,299800,299500,298900,298400,297800,297100,296500,295700,294800,294100,293400,292400,291600,290800,289900,289000,288200,287500,286900,286400,285800,285400,285500,285500,285400,285600,286200,286900,287700,288600,289000,289200,289800,290700,291700,292600,293800,295500,297500,299800,302400,305500,308600,311000,312800,315000,317600,319600,320300,320700,321900,323200,323800,323700,323300,323100,323200,323500,323300,323900,326400,329400,330900,331700,332000,332500,334000,336000,337500,338600,339500,340600,341800,342900,14,20%,"6,794,422",3.80%,39.4,15.10%,13.80%,"$67,846 ",67.50%,2.53,86.80%,839.4
Indiana,72100,74200,75200,75400,75200,75200,75400,75600,75700,76300,77500,78500,78500,78400,78700,79300,80000,80800,81500,82300,83000,83400,83500,83600,83600,83700,83900,84200,84500,84800,85100,85500,85600,85300,85500,85900,86100,86400,86800,87300,87400,87400,87600,88000,88000,87900,88400,88900,89100,89400,89800,90000,90300,90600,90800,90900,92600,95700,97700,98500,99400,100000,100500,100900,101500,101900,102000,102100,102200,102200,102200,102300,102200,101900,101800,101900,102000,102000,101800,101700,101400,101400,101500,101500,101600,102000,102200,102400,103000,103800,104900,105800,106600,107200,107800,108500,109100,109700,110600,111600,112800,113900,114700,115200,115500,116000,116600,116900,117400,118000,118800,119500,119700,119600,119400,119500,119400,118900,118100,117800,117600,117300,117200,116900,116600,116700,117200,117800,117800,117100,116700,117000,117400,117400,117200,117100,117200,117000,116700,116700,116800,117300,117600,117800,118000,118100,118100,117900,117300,116700,116000,115400,114800,114300,113900,113400,112700,112100,111500,111000,110800,110800,110900,110800,110600,110300,110100,110000,109900,109700,109400,109000,108800,108900,108800,108600,108500,108400,108000,107400,107100,106900,106700,106300,105800,105500,105300,105100,105100,105200,105000,104800,104900,105100,105500,106000,106400,106800,107000,107000,107200,107900,109000,110200,111600,112900,114100,114900,115500,115500,115200,115000,115100,115600,116300,116000,114100,112200,111400,111000,110800,110800,111100,111500,111600,111600,111700,111900,112500,113300,113800,114300,114800,114900,114900,115200,115500,115500,115400,115700,15,10%,"6,619,680",2.10%,37.4,14.30%,13.00%,"$48,737 ",64.00%,2.55,85.00%,181
Arizona,103300,103600,103800,104100,104400,104700,104900,105100,105400,106000,106600,106900,107000,107200,107500,107800,108100,108600,109000,109200,109600,110300,111000,111400,111600,112100,112900,113700,114100,114300,114700,115300,115900,116400,116800,117400,118200,118800,119100,119300,119700,120200,120700,121400,122400,123200,124200,125100,125800,126500,126900,127400,128100,128800,129300,129700,130100,130800,131400,132000,132400,132600,132800,133100,133300,133500,134000,134800,135500,136100,136700,137400,138200,139000,139600,140200,140900,141500,142300,143100,143800,144700,145800,146600,147300,148100,149000,149800,150600,151300,152100,153100,154400,155500,156600,158000,159400,160700,162600,164800,167700,171300,175300,179400,183700,188200,193000,198600,205500,213300,221600,230000,237600,244100,249700,254600,258100,260500,262500,263800,264300,264400,264100,263400,262300,261000,259400,257800,256000,254000,252000,250300,248700,247000,245000,243000,241400,240000,238200,236100,233300,229800,225800,221800,218000,214500,211000,207400,203800,200300,196600,192600,190000,189000,187700,185000,182200,179300,176400,173800,171700,169700,167800,166200,164800,163500,162200,160800,159200,157400,155400,153100,150600,148000,145800,144100,142600,141600,141600,141900,141500,140500,139600,138700,137900,137700,138200,139200,140300,141400,142700,144200,145800,147700,149700,152100,154400,157100,159700,161300,162400,163500,164700,166300,168700,171600,174700,177400,180100,181300,181900,182800,183900,184000,183900,184100,185000,185600,185800,186100,186500,187100,187800,188800,189700,190300,190800,191500,191900,192600,193700,194900,196400,198400,200300,202300,204000,204900,205500,206100,16,46%,"6,828,065",6.80%,36.9,15.90%,13.80%,"$49,928 ",59.70%,2.69,80.90%,56.3
Tennessee,71900,72300,72600,72900,73100,73400,73400,73600,73800,74100,74500,74800,75000,75200,75500,75800,76100,76400,76800,77400,77900,78600,79100,79500,79900,80400,80900,81300,81700,82200,82800,83100,83200,83500,84000,84300,84400,84600,84800,85000,85100,85400,85600,85700,85900,86300,86600,87100,87300,87600,87800,88100,88200,88400,88500,88700,89000,89300,89500,89800,90100,90300,90400,90600,90700,90700,91000,91200,91400,91600,91900,92100,92400,92600,92700,93000,93300,93500,93600,94000,94500,94600,94900,95300,95700,96000,96300,96600,97100,97500,97900,98100,98500,98900,99200,99500,99700,100100,100600,101000,101500,102000,102600,103100,103400,103800,104300,104800,105500,106400,107100,107900,108700,109400,110200,111100,111900,112600,113000,113600,114200,114800,115400,115900,116500,117200,117900,118400,118800,119200,119500,119900,120200,120500,120600,120800,121100,121100,121200,121200,120900,120700,120500,120100,119900,120000,119900,119800,119600,119200,118700,118200,118400,119500,120500,120800,120800,120800,120700,120700,120700,120600,120500,120500,120200,119900,119700,119500,119300,119200,118900,118500,118100,117800,117500,117200,117000,116600,116100,115900,115500,115100,114900,114500,114200,114200,114200,114000,114000,114000,113800,113700,113700,113800,113800,113800,113800,113800,114000,114400,114700,114600,114600,114700,114900,115200,115500,116100,116600,117300,117900,118500,118900,119400,119800,120400,121400,122400,123100,123600,124100,124400,124800,125100,125200,125300,125700,126100,126400,126800,127200,127600,128200,128800,129300,129800,130400,130900,131200,131500,17,15%,"6,600,299",4.00%,38.6,15.10%,13.40%,"$44,621 ",61.10%,2.53,84.60%,153.9
Missouri,80700,81400,82000,82600,83300,83700,83700,83600,84200,85500,86700,87600,88000,88200,88900,89500,90000,90400,91000,91300,91700,92100,92600,93200,93600,94100,94300,94400,94600,94700,94800,95400,96100,96700,97500,98200,98600,99100,100000,101200,102200,102700,102800,103000,103800,104900,105800,106700,107500,108000,108600,109700,110700,111200,111800,112800,113600,114100,114800,115600,116200,117000,117900,118300,118300,118800,119600,120400,121000,121600,122200,122700,123400,124200,124700,124700,125100,126300,127800,128300,127800,127900,128900,130000,130800,131600,132100,132800,133800,134700,135600,136800,137700,137500,136500,135900,135700,136000,136500,137100,137700,138400,138800,139400,140300,141500,142500,143500,144200,144200,144300,144800,145300,145600,145600,146000,146800,147800,148400,148600,148900,149400,150000,150400,151000,151300,151700,151900,151800,151400,151300,151900,152600,153200,152900,152400,151900,151200,150100,149100,148500,148200,148100,148000,147900,147700,147500,147100,146600,146200,146100,145900,145600,145300,145100,144700,144100,143200,142600,142200,141900,141700,141600,141600,141400,140900,140100,139200,138600,138500,138000,137300,136500,135600,134300,132900,131700,130600,129600,128500,128200,128400,128300,127800,127200,126600,126400,126600,126800,126800,126600,126700,126500,126600,127300,128300,129100,129700,130400,131300,132100,132600,133100,133600,133600,133000,132500,132300,132200,132400,132500,131500,130800,130900,131300,131200,130300,128900,128100,127800,127700,127700,127900,128300,128700,128900,129300,129900,130700,131400,132000,132500,132500,132500,132800,133300,133700,134100,134500,134600,18,6%,"6,083,672",1.60%,38.5,15.40%,14.00%,"$47,764 ",63.50%,2.48,83.90%,87.1
Maryland,128700,128400,128000,127500,127200,127100,126900,126900,126900,127200,127500,127600,127600,127700,127700,127500,127400,127300,127300,127500,127600,127900,128600,129100,129300,129400,129500,129400,129700,130000,130300,130600,131000,131400,131900,132600,133200,133500,133700,134000,134500,135000,135300,135600,136200,136900,137500,138100,138600,139100,139800,140500,141000,141400,142000,142700,143700,144700,145800,146800,148000,149200,150300,151200,152100,153200,154600,155900,156900,158100,159600,161100,162600,164100,165700,167600,169700,171500,173300,175500,177800,180000,182000,184100,186300,188500,190800,193100,195500,198100,200900,203600,206400,209400,212500,215600,218900,222700,227100,231700,236400,241100,245800,250300,255100,260000,264600,269200,273900,279000,284200,289200,294200,299200,303700,307500,310600,313100,315500,317900,319700,321100,322400,323500,323900,323700,323400,323300,323000,322900,322700,322700,322800,322500,321400,319800,317900,315700,313800,311700,309300,306600,303800,300800,297900,294700,291300,288100,285300,282400,279600,276700,273900,271800,269900,267600,265400,263400,261100,258900,257300,256100,255000,254400,253800,252800,251600,250600,249600,248600,247500,246400,245000,243600,242300,241000,239500,238100,237100,236000,234600,232900,231400,230100,229100,228200,227000,226000,225500,225400,225000,224600,224500,224600,225100,225900,226700,227300,228000,228800,229700,230500,231300,231900,232600,233700,235300,237100,238800,240100,241500,243000,244500,245600,246300,247000,248600,250500,252000,252700,252900,252600,252200,251200,249400,248300,248600,249300,248800,248500,248400,248000,248100,249300,250300,251100,251900,252700,253300,253600,19,13%,"6,006,401",4.00%,38.3,13.80%,12.30%,"$74,149 ",68.30%,2.67,86.70%,594.8
Wisconsin,,,,,,,,,,,,,,,,,100200,100900,102100,103400,103900,104000,103900,103900,104100,104900,105700,106500,106900,107300,107700,108200,108400,108700,109000,110000,111300,112400,112900,113400,113500,113400,113500,113800,113900,114100,114400,115100,115800,116200,116200,116200,117000,118200,119000,119500,119900,120400,121000,121700,122500,123200,123600,123700,124400,125000,125200,125400,126100,126800,127500,127800,128000,128300,129100,130200,131000,131400,132200,133000,133500,134000,134600,135300,136100,137000,137700,138200,138700,139200,139700,140500,141000,140800,140700,141200,141600,142000,142800,143800,144400,145000,145500,146200,147100,147800,148200,148500,149000,149900,151000,152100,153100,154200,154800,155000,155300,156000,156800,157300,157400,157200,157000,156900,156700,157000,157400,157700,157700,157700,157700,158100,159000,159600,159200,158700,158400,157900,157400,157300,157000,156600,156300,156200,156100,155800,155600,155400,155100,154700,154600,154600,155200,156500,157700,158100,158200,158300,158800,159200,159300,159400,159400,159100,158500,158100,157800,157400,156600,155800,155200,154700,154200,153600,153000,152600,152400,152000,150800,149600,149100,148900,148300,147600,147200,146900,146600,146300,146000,145600,145300,145300,145400,145600,145900,146200,146300,146300,146300,146400,146400,146200,146100,146300,146800,147300,147900,148500,148900,149300,149900,150800,151700,152800,154100,154300,153200,152300,151900,151700,151900,152100,152000,151700,151400,151100,151300,151700,151800,152300,153200,153900,154600,155400,156100,156500,156400,155600,155100,154900,20,6%,"5,771,337",1.50%,39.2,15.20%,13.70%,"$52,738 ",67.40%,2.43,85.80%,105
Minnesota,97500,98000,98000,98000,98000,98000,97800,97900,98100,98600,99400,100000,100400,100600,100900,101200,101500,101900,102500,103100,103900,104700,105600,106600,107200,107600,108000,108400,109200,110100,110800,111700,112700,113600,114800,116000,116800,117600,118800,120200,121600,122800,124000,125200,126400,127500,128400,129400,130600,131900,133200,134600,136000,137400,138800,139900,141100,142500,143800,145300,147000,148600,149900,151200,152400,153600,154700,155700,156800,158000,159100,160000,161000,162300,163600,165000,166400,167900,169200,170500,171400,172400,173800,175300,176500,177700,178800,179800,180800,181700,182800,183900,185000,186100,187000,187600,188500,189800,191300,192800,194200,195300,196400,197600,198900,200000,201100,202400,203500,204400,205200,206000,206700,207200,207900,208700,209000,209100,209200,209600,210100,210300,210000,209600,209200,209000,209000,208900,208600,208100,207500,206900,206200,205200,204000,202800,201700,200700,199400,198000,196400,194400,192200,190200,188200,186300,184600,183200,181900,180500,179000,177500,177000,177600,178200,177800,177300,176800,176400,176000,175700,175400,175100,174700,174100,173300,172800,172500,172000,171200,170300,169600,168200,166500,165100,163900,162500,161200,159700,158100,156700,155700,154500,153400,152500,151900,151400,151300,151400,151400,151500,151800,152300,153200,154300,155400,156300,157300,158200,158800,159300,159900,160500,161300,162700,164300,166000,167600,169100,170300,171400,172500,173500,174000,174400,174800,175300,175400,175400,175700,176300,176800,177200,177600,178100,178500,179300,180400,180800,181200,181600,181500,181600,182600,183500,184300,185300,186100,186600,187200,21,24%,"5,489,594",3.50%,37.8,14.30%,12.90%,"$60,828 ",70.00%,2.48,85.50%,66.6
Colorado,128800,129100,129400,129700,130100,130600,131000,131400,131800,132400,133000,133500,133800,134300,134800,135400,136100,136800,137600,138300,139300,140400,141200,141900,142400,142800,143300,143900,144400,145000,145700,146500,147500,148600,149900,151300,152900,154500,156100,157700,159100,160400,161900,163600,165000,166300,168100,169800,171400,173100,174800,176300,177800,179500,181100,182700,184200,185800,187400,189000,190500,191800,193000,194100,195300,196300,196800,197400,198100,198600,199000,199500,200300,201100,201700,202500,203300,203900,204300,204800,205300,205800,206300,206600,206700,206800,207100,207200,207600,208100,208700,209400,210000,210600,211200,211700,212000,212400,212900,213200,213500,214000,214700,215400,215900,216800,217900,218800,219400,219800,220100,220600,221300,221900,222400,222900,223500,224200,224600,225000,225600,225900,226100,226300,226500,226500,226500,226900,227300,227500,227400,227300,227400,227600,227900,228100,227800,227600,227400,226900,225900,224600,223200,222200,221500,221200,221100,220900,220600,219900,218600,217200,216200,215500,215200,214800,214400,213900,213500,213200,213100,213200,213500,213500,213600,213800,213900,213700,213300,212700,211800,210900,209900,209000,208400,207900,207300,206500,205800,205200,204300,203400,202800,202200,201800,201900,202200,202800,203300,203900,204700,205700,206600,207700,208700,209600,210500,211400,212100,212800,213900,215000,216100,217400,219200,221000,223000,225100,227200,229300,231200,232800,234800,236700,238400,240300,242300,243900,245500,246900,248400,249800,251400,253400,255300,257400,260300,263600,266600,269600,272600,275600,278900,282200,285400,288700,291900,294700,296900,298500,22,46%,"5,456,574",8.50%,36.3,12.70%,10.90%,"$59,448 ",67.90%,2.54,80.60%,48.5
Alabama,79800,79700,80200,80600,80700,80800,81200,81700,81800,81700,81800,82000,82000,81500,81300,81400,81500,81700,81900,82000,82400,82900,83400,83900,84400,84700,84800,85100,85500,85700,85900,86300,86700,87100,87700,88300,88900,89600,90200,90400,90400,90500,90800,91000,90900,91100,91100,91000,91200,91700,91800,92000,92300,92400,92200,92100,92300,92400,92500,92800,93100,93600,94100,94200,94200,94400,94800,95200,95800,96600,96900,96900,96600,96600,96900,97300,97300,97200,97300,97500,97500,97800,98500,98900,99000,98700,98400,98600,99300,100200,101000,101500,101800,101900,101800,102000,102500,103400,104400,105300,106200,107200,108100,108800,109600,110400,110900,112300,114200,115300,115700,116300,117100,117600,118200,119300,120400,121400,122400,123000,123400,123900,124600,125000,125300,125500,125800,126200,126600,126800,126900,126900,126800,126800,127100,127400,127800,128000,128000,127500,126900,126000,125300,124900,124700,124700,125400,126100,126000,125700,125800,125600,126000,127800,130000,131500,132300,132600,132400,131900,131400,131400,131700,131900,131600,130800,129400,128300,127800,127400,126700,126000,125400,124500,123700,123000,122100,121300,120700,120000,119500,119300,119000,118800,119000,119200,119000,119000,119100,119000,119100,119500,119800,120000,120000,120000,120200,120500,120500,120600,121100,121600,121700,121800,121900,122100,122600,123100,123700,124300,124700,125100,125400,125700,126300,126200,124700,123100,122500,122100,121800,121900,122300,122600,122200,121600,121400,121600,121900,122300,122500,122700,122800,122700,122600,122800,122900,123000,123000,122900,23,3%,"4,858,979",1.60%,38.6,15.30%,13.80%,"$43,511 ",58.50%,2.55,85.00%,94.4
South Carolina,80800,80900,81100,81100,80800,80600,80700,80900,81200,81500,81700,81900,82100,82200,82300,82700,83400,83700,83800,84100,84500,84800,85200,85800,86000,86300,86700,87300,87900,88500,89100,89600,89900,90400,91100,91800,92400,92800,93100,93600,94100,94300,94600,95000,95500,96100,96600,97000,97600,98300,98900,99200,99400,99700,100000,100400,100700,100900,100900,101000,101200,101500,101700,101900,102200,102900,103400,103600,103900,104100,104400,104600,104900,105200,105600,105800,106000,106300,106900,107300,107400,107700,108100,108600,108800,109200,109600,110200,110600,110900,111200,111700,112100,112400,113000,113700,114300,114900,115400,116100,116800,117400,118000,118800,119900,120900,121700,122500,123400,124200,125000,125900,126900,127800,128700,129800,130800,131400,132000,132600,133300,133700,134200,134800,135500,136000,136400,136700,136900,136800,136600,136400,136200,136200,136200,136100,135800,135900,135600,135200,134600,134100,133800,133600,133300,133200,133100,132900,132400,131800,131400,130800,131000,132500,134000,134700,134900,135000,135000,134900,134700,134500,134400,134300,134200,133900,133200,132600,132400,132300,131900,131200,130800,130500,130200,129700,129100,128400,127800,127300,126600,125900,125200,124800,124500,124000,123600,123300,122700,122100,121800,121400,121000,120800,120900,121200,121500,121700,121900,122000,122100,122000,121700,121800,122000,122400,122900,123600,124200,124800,125600,126700,127300,127600,127700,128300,129200,129300,129400,129800,130200,130300,130700,131000,131300,131700,132400,133200,133500,134600,135300,134800,134400,134900,135100,135200,135700,136200,136500,136500,24,12%,"4,896,146",5.90%,38.8,15.80%,13.70%,"$45,033 ",60.30%,2.56,84.50%,153.9
Kentucky,79100,79000,79300,79900,80300,80700,81000,81100,81400,81600,81800,82000,82200,82600,83000,83400,83500,83700,84000,84400,84600,84800,85200,85500,85800,86000,86300,86600,87100,87500,87700,87800,88100,88600,89200,89700,90300,90600,90800,91100,91400,91600,91800,92000,92000,92300,92700,93100,93500,93800,93900,94100,94500,94800,94800,95100,95600,95900,96000,96400,96800,97300,97800,98200,98500,98600,98700,98800,99100,99500,99900,100200,100300,100600,100900,101200,101400,101700,102200,102700,103100,103400,103500,103700,104000,104300,104500,104600,104700,105100,105500,105900,106400,106900,107400,107900,108500,108800,109100,109400,109900,110300,110700,111100,111300,111400,111700,111800,111800,112200,112600,112900,113200,113600,114100,114400,114500,114400,114400,114500,114800,115100,115400,115600,115700,115900,116000,116200,116400,116400,116300,116200,115900,115800,115800,115800,115800,115700,115700,115900,115900,115500,115100,115200,115400,115500,115400,115300,115300,115500,115400,115000,115000,116100,117800,118700,118900,119000,119100,119600,120200,120700,121000,121100,121300,121400,121100,120900,121000,121100,121100,120900,120500,120100,119600,119300,119200,119200,118900,118600,118500,118600,118400,118300,118100,117700,117600,117600,117600,117400,117400,117600,118100,118400,118700,118900,119000,119000,119000,119200,119400,119400,119200,119200,119400,119900,120600,121500,122100,122600,123400,124200,124500,124700,125100,125100,124100,123000,122600,122300,122300,122500,122800,123100,123300,123400,123700,124200,124800,125300,125500,125800,126100,126400,126700,126900,127300,127600,127700,127700,25,9%,"4,425,092",2.00%,38.5,14.80%,13.30%,"$43,342 ",59.40%,2.5,84.70%,109.9
Oregon,126400,127100,127600,128100,128800,129400,130000,130700,131200,131700,132200,132600,132900,133100,133400,133900,134300,134800,135400,136100,136800,137500,138100,138600,139000,139300,139400,139600,140000,140500,140800,141300,141800,142100,142600,143400,143800,144000,144500,145100,145300,145400,145700,146100,146100,146200,146800,147300,147500,148000,148600,149100,149300,149500,149500,149700,150200,151000,151800,152500,152900,153400,153800,154100,154200,154600,155100,155400,156000,156800,157500,158200,159000,159400,159900,160500,161300,162000,162800,163500,164500,165600,166400,167100,167900,168700,169500,170300,171100,172200,173500,174900,176100,177200,178200,179200,180600,182300,183900,185700,187700,189600,191700,194000,196000,198100,200600,203200,206100,209400,213300,217200,221500,225800,230000,234000,237700,241000,244200,247500,250700,253600,255900,258200,260400,261900,262700,263600,264300,264800,265300,266100,266700,266800,266700,266200,265200,264100,263100,261900,260300,258500,256800,255300,253800,252100,250500,248800,246900,244800,242500,239900,237900,237300,236800,235300,233700,232100,230400,228900,227800,227000,226500,226300,226100,225600,224700,223600,222300,220900,219500,217800,216000,214200,212500,211100,209900,208400,206800,205100,203300,201600,200300,199400,198700,198200,197800,197600,197400,197400,197700,198100,198700,199400,200200,201000,201800,202700,203600,204300,205000,205700,206700,208300,210500,212800,215300,218400,221300,223700,225800,227700,229500,231100,232600,233900,234900,236100,236400,236300,236500,236800,237200,238300,239100,239500,240500,242300,244400,247000,249800,252000,253900,256600,259600,262300,264800,267200,269600,271500,26,38%,"4,028,977",5.20%,39.3,16.00%,13.90%,"$50,521 ",62.40%,2.5,81.80%,39.9
